"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,0.332225913621262,0.259067357512953,0.397614314115308,0.262123197903014
"2","Large",30,0,0,0,0
"3","Large",100,0,0,0,0
"4","Large",500,0,0,0,0
"5","Large",1000,0,0,0,0
"6","Medium",10,53.0085959885387,22.9306487695749,29.5454545454545,23.2690124858116
"7","Medium",30,0,0,0,0
"8","Medium",100,0,0,0,0
"9","Medium",500,0,0,0,0
"10","Medium",1000,0,0,0,0
"11","Small",10,98.041958041958,75.3340184994861,79.3668122270742,76.3541666666667
"12","Small",30,83.6559139784946,45.4741379310345,52.0050125313283,44.6333687566419
"13","Small",100,96,3.16622691292876,3.50877192982456,3.19148936170213
"14","Small",500,0,0,0,0
"15","Small",1000,0,0,0,0
"16","None",10,99.165673420739,88.1269191402252,88.6831275720165,88.0855397148676
"17","None",30,97.8523489932886,79.7297297297297,81.7400644468314,78.6885245901639
"18","None",100,100,56.4047362755651,65.7395701643489,57.0806100217865
"19","None",500,100,1.36157337367625,1.35746606334842,1.28205128205128
"20","None",1000,0,0,0,0
