"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,0.332225913621262,0.327332242225859,0.417536534446764,0.328407224958949
"2","Large",30,0,0,0,0
"3","Large",100,0,0,0,0
"4","Large",500,0,0,0,0
"5","Large",1000,0,0,0,0
"6","Medium",10,52.1739130434783,24.7873633049818,34.018691588785,25.3712871287129
"7","Medium",30,0,0,0,0
"8","Medium",100,0,0,0,0
"9","Medium",500,0,0,0,0
"10","Medium",1000,0,0,0,0
"11","Small",10,98.2583454281567,76.7762460233298,83.7995337995338,79.0496760259179
"12","Small",30,82.7906976744186,47.3981900452489,56.1281337047354,46.7488789237668
"13","Small",100,95,3.40425531914894,2.84431137724551,3.39943342776204
"14","Small",500,0,0,0,0
"15","Small",1000,0,0,0,0
"16","None",10,99.1358024691358,90.0105152471083,90.5419766206164,89.5397489539749
"17","None",30,97.9020979020979,80.6962025316456,85.3575482406356,79.9791449426486
"18","None",100,100,57.7136514983352,66.577896138482,58.2589285714286
"19","None",500,100,1.43312101910828,1.0590015128593,1.35135135135135
"20","None",1000,0,0,0,0
