"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,99.6677740863787,98.5751295336787,98.0119284294234,98.5583224115334
"2","Large",30,100,100,100,100
"3","Large",100,100,100,100,100
"4","Large",500,100,100,100,100
"5","Large",1000,100,100,100,100
"6","Medium",10,46.9914040114613,65.2125279642058,57.8787878787879,64.472190692395
"7","Medium",30,100,99.6083550913838,99.8569384835479,99.4572591587517
"8","Medium",100,100,100,100,100
"9","Medium",500,100,100,100,100
"10","Medium",1000,100,100,100,100
"11","Small",10,1.95804195804196,13.8746145940391,11.0262008733624,13.6458333333333
"12","Small",30,16.3440860215054,41.5948275862069,37.468671679198,42.4017003188098
"13","Small",100,4,92.8759894459103,95.1754385964912,92.8191489361702
"14","Small",500,0,100,100,100
"15","Small",1000,0,100,100,100
"16","None",10,0.834326579261025,5.32241555783009,4.93827160493827,5.39714867617108
"17","None",30,2.14765100671141,11.1226611226611,10.4189044038668,11.8852459016393
"18","None",100,0,32.2927879440258,26.6750948166877,32.4618736383442
"19","None",500,0,97.428139183056,98.4917043740573,97.5783475783476
"20","None",1000,0,100,100,100
