"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,60.2,77.2,50.3,76.3
"2","Large",30,72.2,70.2,57.4,71
"3","Large",100,69.9,70.1,65.1,68
"4","Large",500,65.9,71.4,70.7,67.8
"5","Large",1000,100,71,67.9,70.5
"6","Medium",10,34.9,89.4,66,88.1
"7","Medium",30,51.9,76.6,69.9,73.7
"8","Medium",100,43.8,67.8,67.2,68.8
"9","Medium",500,50.7,68.9,73,70.3
"10","Medium",1000,56,70.1,71.8,71.2
"11","Small",10,71.5,97.3,91.6,96
"12","Small",30,46.5,92.8,79.8,94.1
"13","Small",100,2.5,75.8,68.4,75.2
"14","Small",500,0,67.5,71.1,68.3
"15","Small",1000,0,68.5,69,69.1
"16","None",10,83.9,97.7,97.2,98.2
"17","None",30,74.5,96.2,93.1,97.6
"18","None",100,52.5,92.9,79.1,91.8
"19","None",500,0.9,66.1,66.3,70.2
"20","None",1000,0,57,69.4,56.8
