"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,60.2,61.1,47.9,60.9
"2","Large",30,72.2,69.5,57.4,70.2
"3","Large",100,69.9,70.1,65.1,68
"4","Large",500,65.9,71.4,70.7,67.8
"5","Large",1000,100,71,67.9,70.5
"6","Medium",10,32.2,82.3,53.5,80.8
"7","Medium",30,51.9,69.6,69.9,65.5
"8","Medium",100,43.8,67.6,67.2,68.1
"9","Medium",500,50.7,68.9,73,70.3
"10","Medium",1000,56,70.1,71.8,71.2
"11","Small",10,68.9,94.3,85.8,92.6
"12","Small",30,43,88.4,71.8,89.2
"13","Small",100,2,70.5,66.8,70.6
"14","Small",500,0,67.3,71.1,68.1
"15","Small",1000,0,68.5,69,69.1
"16","None",10,81,95.1,94.1,95.6
"17","None",30,71.5,94.8,88.1,95.9
"18","None",100,48.6,90.1,75.1,89.6
"19","None",500,0.7,62.8,66.1,66.6
"20","None",1000,0,54.5,69.4,53.3
