"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,96.9491525423729,83.7078651685393,93.2367149758454,82.6979472140763
"2","Large",30,100,100,100,100
"3","Large",100,100,100,100,100
"4","Large",500,100,100,100,100
"5","Large",1000,100,100,100,100
"6","Medium",10,33.968253968254,24.3306169965076,31.4189189189189,23.1481481481481
"7","Medium",30,100,94.578313253012,98.5754985754986,94.2675159235669
"8","Medium",100,100,100,100,100
"9","Medium",500,100,100,100,100
"10","Medium",1000,100,100,100,100
"11","Small",10,0.563380281690141,2.19206680584551,1.71428571428571,1.79514255543823
"12","Small",30,10.762331838565,12.4571428571429,15.4727793696275,13.1221719457014
"13","Small",100,4,71.9821162444113,89.6940418679549,71.689497716895
"14","Small",500,0,100,100,100
"15","Small",1000,0,100,100,100
"16","None",10,0.4778972520908,0.93071354705274,0.72992700729927,1.23076923076923
"17","None",30,0.54421768707483,1.78571428571429,1.24716553287982,1.45833333333333
"18","None",100,0,8.62262038073908,12.0111731843575,9.70654627539503
"19","None",500,0,84.0277777777778,96.9205834683955,85.4604200323102
"20","None",1000,0,99.8043052837573,100,100
