"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,97.0639032815199,81.864406779661,95.2247191011236,81.1224489795918
"2","Large",30,100,100,100,100
"3","Large",100,100,100,100,100
"4","Large",500,100,100,100,100
"5","Large",1000,100,100,100,100
"6","Medium",10,33.6805555555556,22.2082810539523,27.6807980049875,20.076726342711
"7","Medium",30,100,93.75,98.8269794721408,93.359375
"8","Medium",100,100,100,100,100
"9","Medium",500,100,100,100,100
"10","Medium",1000,100,100,100,100
"11","Small",10,0.583941605839416,2.13447171824973,0.849514563106796,1.52008686210641
"12","Small",30,9.67741935483871,11.520190023753,14.0065146579805,11.7021276595745
"13","Small",100,5,70.3883495145631,91.6666666666667,70.3459637561779
"14","Small",500,0,100,100,100
"15","Small",1000,0,100,100,100
"16","None",10,0.371747211895911,0.528541226215645,0.322234156820623,0.839454354669465
"17","None",30,0.42674253200569,1.3903743315508,0.826446280991736,1.26849894291755
"18","None",100,0,8.15154994259472,9.46564885496183,9.03823870220162
"19","None",500,0,83.3017077798861,97.8114478114478,84.6975088967972
"20","None",1000,0,99.7767857142857,100,100
