"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,59,71.2,62.1,68.2
"2","Large",30,72.2,69.5,57.4,69.7
"3","Large",100,69.9,70.1,65.1,68
"4","Large",500,65.9,71.4,70.7,67.8
"5","Large",1000,100,71,67.9,70.5
"6","Medium",10,31.5,85.9,59.2,86.4
"7","Medium",30,51.7,66.4,70.2,62.8
"8","Medium",100,43.8,66.8,67.2,66.1
"9","Medium",500,50.7,68.9,73,70.3
"10","Medium",1000,56,70.1,71.8,71.2
"11","Small",10,71,95.8,87.5,94.7
"12","Small",30,44.6,87.5,69.8,88.4
"13","Small",100,2.5,67.1,62.1,65.7
"14","Small",500,0,62.9,71.1,64.1
"15","Small",1000,0,68.5,69,69
"16","None",10,83.7,96.7,95.9,97.5
"17","None",30,73.5,95.2,88.2,96
"18","None",100,52.5,89.3,71.6,88.6
"19","None",500,0.9,57.6,61.7,61.9
"20","None",1000,0,51.1,69.4,51.7
