"","Effect","N","Omnibus","1v2","1v3","2v3"
"1","Large",10,57.9,59,35.6,58.8
"2","Large",30,72.2,63.7,57.4,65.4
"3","Large",100,69.9,70.1,65.1,68
"4","Large",500,65.9,71.4,70.7,67.8
"5","Large",1000,100,71,67.9,70.5
"6","Medium",10,28.8,79.7,40.1,78.2
"7","Medium",30,51.5,56,68.2,51.2
"8","Medium",100,43.8,65.2,67.2,63.5
"9","Medium",500,50.7,68.9,73,70.3
"10","Medium",1000,56,70.1,71.8,71.2
"11","Small",10,68.5,93.7,82.4,92.1
"12","Small",30,40.3,84.2,61.4,84.6
"13","Small",100,2,61.8,57.6,60.7
"14","Small",500,0,59.9,71.1,62.9
"15","Small",1000,0,68.5,69,68.9
"16","None",10,80.7,94.6,93.1,95.3
"17","None",30,70.3,93.5,84.7,94.6
"18","None",100,48.6,87.1,65.5,86.3
"19","None",500,0.7,52.7,59.4,56.2
"20","None",1000,0,44.8,69.4,44.7
