"","sim","N","effect1v2","effect2v3","effect1v3","stdev","dlow1v2","dhigh1v2","dlow1v3","dhigh1v3","dlow2v3","dhigh2v3","mdiff1v2","mdiff1v3","mdiff2v3","m1","m2","m3","mlow1v2","mhigh1v2","mlow1v3","mhigh1v3","mlow2v3","mhigh2v3","omniP","p1v2","p2v3","p1v3","quadeP","quadeP1v2","quadeP2v3","quadeP1v3","overallBF","BF1v2","BF1v3","BF2v3","oompcc","oomchance"
"1",1,10,0,0.147264208102145,0.193649167310371,11.5,-0.619795032349109,0.619795032349108,-0.437570445627799,0.814492504060105,-0.480124176730458,0.766694311965964,0,0.4,0.4,3.3,3.3,2.9,-2.2621571627982,2.2621571627982,-1.07763487115672,1.87763487115672,-1.5430570813907,2.3430570813907,0.863602439644585,1,1,1,0.931031858986495,1,1,1,0.23391494553092,0.308829826977699,0.361921341400755,0.338777302134833,0.5,0.926
"2",2,10,0.0937805324873752,-0.187256335179708,-0.0842557768547164,11.5,-0.530034489560909,0.712492022862009,-0.702941495551024,0.539019369522279,-0.807861308798715,0.443395482454662,0.3,-0.3,-0.6,3.2,2.9,3.5,-1.9883968143398,2.5883968143398,-2.84709029816733,2.24709029816733,-2.89212081487383,1.69212081487383,0.851032171555588,1,1,1,0.837375964710989,1,1,1,0.242399123133987,0.320729449334937,0.318409265015926,0.358283914840788,0.5,0.812
"3",3,10,-0.191446033415183,0.148159439497438,0.0535372957686187,11.5,-0.812205651584179,0.439576478254837,-0.568198075228158,0.672349747549253,-0.479296509506968,0.767609872542999,-0.3,0.2,0.5,3.5,3.8,3.3,-1.42097946331324,0.820979463313237,-2.47236847024304,2.87236847024304,-1.91414555966592,2.91414555966592,0.873136811801665,1,1,1,0.705563534751512,1,1,1,0.248936822796334,0.360650935555357,0.312671657751849,0.339155181656271,0.6,0.132
"4",4,10,0,-0.140180794054799,-0.140180794054799,11.5,-0.619795032349109,0.619795032349108,-0.75945968754146,0.486681930273374,-0.75945968754146,0.486681930273374,0,-0.5,-0.5,3.2,3.2,3.7,-3.10903764132152,3.10903764132152,-3.05155105517172,2.05155105517172,-3.05155105517172,2.05155105517172,0.893971709072984,1,1,1,0.700922503294991,1,1,1,0.227300956932133,0.308829826977699,0.335878479348826,0.335878479348826,0.466666666666667,0.96
"5",5,10,-0.365108366370438,0.494901541957473,0,11.5,-0.997494072493418,0.285883851213984,-0.619795032349109,0.619795032349108,-0.176488065299115,1.14243442115499,-1.3,0,1.3,3.1,4.4,3.1,-3.84709029816733,1.24709029816733,-2.45501670755826,2.45501670755826,-0.579088867017062,3.17908886701706,0.361267872217151,0.833999037003614,0.456056999334072,1,0.614230376482137,1,1,1,0.488968859378395,0.52786070475075,0.308829826977699,0.785106917559646,0.6,0.263
"6",6,10,-0.313363325055167,-0.127630688943455,-0.528498197563233,11.5,-0.941228768494081,0.330763410372354,-1.18080848388981,0.148869858984122,-0.746683706056621,0.498339769119976,-1.1,-1.5,-0.4,2.1,3.2,3.6,-3.61111899080468,1.41111899080468,-3.53034819021802,0.530348190218022,-2.64195892662647,1.84195892662647,0.324555238342197,1,1,0.387016409544855,0.2944364811779,0.895509765577982,1,0.390172344909067,0.511130763142459,0.461675364974323,0.880235590273233,0.331133219911452,0.433333333333333,0.989
"7",7,10,-0.02728400398492,0.127152131994154,0.0672503759493331,11.5,-0.646457784486386,0.593381098887705,-0.55513424786116,0.685966718000203,-0.498785294440242,0.746197599427525,-0.1,0.2,0.3,3.3,3.4,3.1,-2.72189122375897,2.52189122375897,-1.92744358934029,2.32744358934029,-1.38779766745136,1.98779766745136,0.95109682718201,1,1,1,0.885357389018974,1,1,1,0.224146499096399,0.309824268230021,0.314907760522739,0.330962009573119,0.466666666666667,0.994
"8",8,10,-0.257247877713763,0.259160527674408,0,11.5,-0.8812191825775,0.380298722660572,-0.619795032349109,0.619795032349108,-0.378595170038163,0.883247131383355,-1,0,1,2.5,3.5,2.5,-3.78080780424021,1.78080780424021,-2.47806901337293,2.47806901337293,-1.76028495693369,3.76028495693369,0.628750798880535,1,1,1,0.793287949811311,1,1,1,0.305247626375943,0.406829717959454,0.308829826977699,0.408445982501799,0.533333333333333,0.644
"9",9,10,0.452267016866645,-0.256424305902413,0.0641060764756032,11.5,-0.211939519758709,1.09423637721101,-0.558124232755603,0.682838827442961,-0.880346344468704,0.381032592938063,1,0.2,-0.8,3.8,2.8,3.6,-0.581713632196162,2.58171363219616,-2.03179126004664,2.43179126004664,-3.03179126004664,1.43179126004664,0.514466288050721,0.559339528417868,1,1,0.390627446754004,0.596420321558438,0.914596233350457,1,0.361321101168974,0.683309062811005,0.314349081211821,0.406138895747555,0.466666666666667,0.99
"10",10,10,-0.120160320712774,-0.0562939968780601,-0.18394180184549,11.5,-0.739104391475463,0.505302843499814,-0.804428672244756,0.446420599454917,-0.675082014035453,0.565566936941626,-0.3,-0.5,-0.2,4,4.3,4.5,-2.08600615010163,1.48600615010163,-2.44451967631469,1.44451967631469,-2.74150334189352,2.34150334189352,0.866199371133005,1,1,1,0.806672647676533,1,1,1,0.233154975402358,0.328540934323168,0.356456313735989,0.313079525912184,0.533333333333333,0.764
